dut_speed,dut_decel,dut_dist,foe_speed,foe_dist,envelope_id
19.0,4.8,6.0,25.0,18.0,0
19.0,4.7,15.0,25.0,18.0,0
18.0,4.8,10.0,26.0,18.0,0
18.0,4.8,7.0,26.0,18.0,0
19.0,4.8,6.0,25.0,18.0,0
20.0,4.7,12.0,25.0,22.0,0
18.0,4.8,10.0,26.0,18.0,0
18.0,4.8,9.0,25.0,16.0,0
18.0,4.8,9.0,25.0,15.0,0
20.0,5.0,13.0,25.0,17.0,0
18.0,4.8,10.0,26.0,18.0,0
18.0,4.6,8.0,25.0,19.0,0
18.0,4.6,7.0,25.0,19.0,0
20.0,4.9,14.0,25.0,18.0,0
18.0,4.8,10.0,26.0,18.0,0
18.0,4.7,7.0,25.0,18.0,0
18.0,4.6,6.0,25.0,18.0,0
19.0,4.2,10.0,25.0,19.0,0
17.0,4.3,9.0,26.0,16.0,0
17.0,4.4,8.0,25.0,14.0,0
17.0,4.4,8.0,24.0,13.0,0
18.0,3.9,6.0,26.0,18.0,0
19.0,3.9,4.0,25.0,15.0,0
19.0,4.0,4.0,24.0,13.0,0
18.0,4.1,4.0,25.0,12.0,0
20.0,4.7,11.0,25.0,23.0,0
18.0,4.8,10.0,26.0,19.0,0
19.0,4.7,11.0,26.0,21.0,0
19.0,4.7,11.0,26.0,22.0,0
20.0,4.8,12.0,27.0,21.0,0
18.0,4.8,11.0,26.0,18.0,0
18.0,4.7,9.0,26.0,19.0,0
18.0,4.7,9.0,25.0,19.0,0
19.0,4.9,12.0,26.0,22.0,0
18.0,4.8,10.0,26.0,19.0,0
18.0,4.9,11.0,26.0,20.0,0
18.0,4.9,11.0,26.0,19.0,0
20.0,4.9,12.0,26.0,21.0,0
20.0,4.7,11.0,25.0,23.0,0
20.0,4.8,12.0,26.0,23.0,0
20.0,4.9,12.0,26.0,22.0,0
18.0,4.7,13.0,25.0,23.0,0
18.0,4.8,11.0,26.0,19.0,0
18.0,4.8,10.0,26.0,18.0,0
19.0,4.7,9.0,26.0,18.0,0
20.0,5.2,14.0,26.0,23.0,0
21.0,4.9,12.0,25.0,22.0,0
21.0,5.0,13.0,25.0,23.0,0
20.0,5.1,14.0,26.0,23.0,0
21.0,5.2,17.0,26.0,23.0,0
19.0,5.2,14.0,27.0,24.0,0
19.0,5.1,11.0,26.0,25.0,0
19.0,5.1,11.0,26.0,25.0,0
20.0,4.8,16.0,27.0,21.0,0
18.0,5.0,12.0,27.0,19.0,0
18.0,5.0,10.0,26.0,19.0,0
18.0,5.0,11.0,27.0,19.0,0
20.0,5.2,15.0,25.0,27.0,0
19.0,5.2,14.0,27.0,23.0,0
19.0,5.1,13.0,27.0,20.0,0
20.0,5.1,13.0,27.0,20.0,0
21.0,5.2,17.0,26.0,26.0,0
19.0,5.2,14.0,27.0,24.0,0
18.0,5.2,12.0,26.0,22.0,0
18.0,5.2,13.0,26.0,23.0,0
21.0,5.2,17.0,26.0,26.0,0
19.0,5.300000000000001,14.0,27.0,24.0,0
19.0,5.2,12.0,26.0,22.0,0
19.0,5.2,11.0,26.0,21.0,0
21.0,5.1,17.0,26.0,26.0,0
19.0,5.300000000000001,14.0,27.0,24.0,0
19.0,5.300000000000001,12.0,26.0,22.0,0
19.0,5.2,11.0,26.0,21.0,0
21.0,5.300000000000001,14.0,26.0,26.0,0
19.0,5.2,14.0,27.0,24.0,0
18.0,5.1,14.0,26.0,22.0,0
18.0,5.1,14.0,25.0,21.0,0
21.0,5.2,17.0,27.0,24.0,0
19.0,5.300000000000001,14.0,27.0,24.0,0
18.0,5.2,12.0,26.0,24.0,0
19.0,5.2,11.0,25.0,24.0,0
21.0,5.2,18.0,26.0,22.0,0
19.0,5.300000000000001,14.0,27.0,24.0,0
19.0,5.2,11.0,26.0,25.0,0
19.0,5.1,10.0,26.0,25.0,0
20.0,5.300000000000001,17.0,26.0,23.0,0
19.0,5.2,14.0,27.0,24.0,0
19.0,5.1,11.0,26.0,25.0,0
19.0,5.1,10.0,26.0,25.0,0
20.0,5.2,17.0,26.0,26.0,0
19.0,5.300000000000001,14.0,27.0,24.0,0
19.0,5.2,11.0,26.0,22.0,0
19.0,5.1,11.0,26.0,21.0,0
20.0,5.2,17.0,25.0,23.0,0
19.0,5.2,14.0,27.0,24.0,0
19.0,5.1,11.0,27.0,24.0,0
20.0,5.1,10.0,26.0,24.0,0
21.0,5.2,18.0,26.0,23.0,0
19.0,5.2,14.0,27.0,24.0,0
19.0,5.1,11.0,26.0,24.0,0
19.0,5.1,10.0,26.0,24.0,0
21.0,5.300000000000001,17.0,26.0,24.0,0
19.0,5.2,14.0,27.0,24.0,0
18.0,5.1,11.0,26.0,23.0,0
18.0,5.2,12.0,26.0,24.0,0
21.0,5.300000000000001,13.0,26.0,27.0,0
19.0,5.2,15.0,27.0,23.0,0
19.0,5.1,15.0,26.0,21.0,0
19.0,5.1,15.0,26.0,20.0,0
20.0,5.2,18.0,26.0,24.0,0
19.0,5.300000000000001,14.0,27.0,24.0,0
19.0,5.2,11.0,26.0,23.0,0
19.0,5.1,10.0,26.0,23.0,0
21.0,5.2,17.0,26.0,23.0,0
19.0,5.300000000000001,14.0,27.0,24.0,0
18.0,5.2,12.0,26.0,25.0,0
19.0,5.1,11.0,25.0,25.0,0
20.0,5.2,17.0,26.0,26.0,0
19.0,5.300000000000001,14.0,27.0,23.0,0
19.0,5.2,12.0,26.0,21.0,0
19.0,5.1,11.0,26.0,20.0,0
21.0,5.4,15.0,26.0,23.0,0
22.0,5.0,13.0,25.0,23.0,0
21.0,5.300000000000001,14.0,25.0,23.0,0
21.0,5.300000000000001,15.0,25.0,23.0,0
18.0,5.0,11.0,26.0,26.0,0
19.0,4.9,9.0,26.0,23.0,0
19.0,5.0,9.0,26.0,21.0,0
19.0,5.1,9.0,27.0,21.0,0
20.0,5.1,17.0,26.0,26.0,0
19.0,5.300000000000001,14.0,27.0,24.0,0
19.0,5.300000000000001,12.0,26.0,22.0,0
20.0,5.300000000000001,11.0,26.0,21.0,0
20.0,5.6,18.0,25.0,23.0,0
19.0,5.5,15.0,27.0,24.0,0
20.0,5.4,12.0,27.0,24.0,0
20.0,5.300000000000001,11.0,26.0,24.0,0
21.0,5.6,18.0,26.0,25.0,0
19.0,5.5,15.0,27.0,23.0,0
19.0,5.300000000000001,13.0,26.0,22.0,0
19.0,5.300000000000001,12.0,26.0,22.0,0
22.0,5.5,17.0,27.0,24.0,0
19.0,5.5,15.0,27.0,24.0,0
19.0,5.4,14.0,26.0,24.0,0
19.0,5.4,14.0,25.0,23.0,0
22.0,5.5,16.0,26.0,26.0,0
19.0,5.5,15.0,27.0,24.0,0
19.0,5.4,14.0,26.0,22.0,0
19.0,5.4,14.0,25.0,21.0,0
20.0,5.1,18.0,26.0,25.0,0
19.0,5.300000000000001,14.0,27.0,24.0,0
19.0,5.300000000000001,11.0,26.0,22.0,0
20.0,5.300000000000001,10.0,26.0,22.0,0
18.0,5.0,9.0,27.0,23.0,0
19.0,5.0,10.0,25.0,22.0,0
19.0,5.1,12.0,25.0,22.0,0
19.0,5.1,13.0,25.0,22.0,0
20.0,5.4,18.0,25.0,26.0,0
19.0,5.5,15.0,27.0,23.0,0
